Temperature [°C],Alpha [0-1],Mass percent [%],Heating rate [K/min],Run,Sample,Atmosphere
305.770982,0.10,90.00,5,beta-5,synthetic-kas,N2
308.401052,0.20,80.00,5,beta-5,synthetic-kas,N2
311.054395,0.30,70.00,5,beta-5,synthetic-kas,N2
313.731314,0.40,60.00,5,beta-5,synthetic-kas,N2
316.432119,0.50,50.00,5,beta-5,synthetic-kas,N2
319.157124,0.60,40.00,5,beta-5,synthetic-kas,N2
321.906648,0.70,30.00,5,beta-5,synthetic-kas,N2
324.681018,0.80,20.00,5,beta-5,synthetic-kas,N2
327.480564,0.90,10.00,5,beta-5,synthetic-kas,N2
318.121427,0.10,90.00,10,beta-10,synthetic-kas,N2
320.861621,0.20,80.00,10,beta-10,synthetic-kas,N2
323.626535,0.30,70.00,10,beta-10,synthetic-kas,N2
326.416499,0.40,60.00,10,beta-10,synthetic-kas,N2
329.231849,0.50,50.00,10,beta-10,synthetic-kas,N2
332.072923,0.60,40.00,10,beta-10,synthetic-kas,N2
334.940070,0.70,30.00,10,beta-10,synthetic-kas,N2
337.833642,0.80,20.00,10,beta-10,synthetic-kas,N2
340.753997,0.90,10.00,10,beta-10,synthetic-kas,N2
330.993053,0.10,90.00,20,beta-20,synthetic-kas,N2
333.850277,0.20,80.00,20,beta-20,synthetic-kas,N2
336.733791,0.30,70.00,20,beta-20,synthetic-kas,N2
339.643952,0.40,60.00,20,beta-20,synthetic-kas,N2
342.581123,0.50,50.00,20,beta-20,synthetic-kas,N2
345.545674,0.60,40.00,20,beta-20,synthetic-kas,N2
348.537980,0.70,30.00,20,beta-20,synthetic-kas,N2
351.558425,0.80,20.00,20,beta-20,synthetic-kas,N2
354.607398,0.90,10.00,20,beta-20,synthetic-kas,N2
344.418808,0.10,90.00,40,beta-40,synthetic-kas,N2
347.400549,0.20,80.00,40,beta-40,synthetic-kas,N2
350.410284,0.30,70.00,40,beta-40,synthetic-kas,N2
353.448398,0.40,60.00,40,beta-40,synthetic-kas,N2
356.515286,0.50,50.00,40,beta-40,synthetic-kas,N2
359.611350,0.60,40.00,40,beta-40,synthetic-kas,N2
362.736999,0.70,30.00,40,beta-40,synthetic-kas,N2
365.892649,0.80,20.00,40,beta-40,synthetic-kas,N2
369.078725,0.90,10.00,40,beta-40,synthetic-kas,N2
